,Name,Date,Likes,isPinned,Comment
1,WHYCOMMENT,12 May 2014 1:29pm,30,True,"Ok, I’ll get the ball rolling with some thoughts.. I am Jewish, born in the uk 1960, and have always had an emotional response to the Germans and their conduct in the second world war.  Whilst I believe that there were a lot of evil people in Germany during the war, such that there was a kind of “collective guilt”, I have also believed that you can not blame an entire nation, nor their children. With that in mind I watched this with great interest I watched and was actually captivated by it. I think I even enjoyed it! Germany was portrayed as a horrible place to live, especially for the “ordinary “people who must have been conflicted. Each brother seemed to know he’d lost his soul and his humanity and I guess it must have been difficult to resist the pressure to fit in. Humans readily accept the norm as being ok.And yet, most Germans did go along with things and you do wonder how much they succumbed to this –eg the family that took the flat of the Jewish family that was featured, readily took on the anti –Semitic stance of the regime with apparent ease. Perhaps there was a “German mentality” which is a phrase that I have heard used many times. So my conclusion is that this was a programme worth watching addressing difficult issues, that did not deny what a terrible place Germany must have been and that there was a cost to the country and its people. As a drama it felt well put together too. What it possibly could have addressed was the role that the German opposition took throughout Nazi rule took and if it had support, however passive, amongst the people."
2,straighttalkingjack,12 May 2014 4:14pm,20,False,"Whilst I believe that there were a lot of evil people in Germany during the war, such that there was a kind of “collective guilt”, I have also believed that you can not blame an entire nation, nor their children.   I doubt there were more inherently evil people in Germany than in England - surely the point is that given the right conditions and the right prompting human beings will become what we like to think of as inhuman. So many times we have seen this all over the world - surely I don't need to start listing examples. In fact, I think it's dangerous to start throwing around the idea that these things occur because of a preponderance of inherently evil people, as if the people there at the time were qualitatively different to ourselves, because it lulls us into a false sense of security that it couldn't happen here, All you need, for example, is economic hardship, a relatively defenceless minority and cynical racist politicians with no qualms about exploiting the situation to gain power and inflict suffering on &quot;the other&quot;. Suddenly the scenario doesn't seem so alien, does it........"
3,crisscross,12 May 2014 4:58pm,4,False,"Indeed, the interesting thing is how the Nazi ideology got a grip on the mentality of Germans at that time. Clearly, there was nothing unique about the Germans, just that historical circumstances were such that this awful barbarity took hold in an advanced and cultured nation. The rise of the Nazis should indeed be seen as a warning from history. My objection to Generation War is that it paints a false picture of innocence among a group of young Germans, who on the one hand are portrayed as fully supporting Hitler and the war (at the start at least) and on the other as being innocent of the true nature of Hitler's regime. Totally unbelievable!"
4,straighttalkingjack,12 May 2014 5:05pm,1,False,"Quite, the fact that it could happen anywhere is no reason not to judge harshly those who go along with the cruelty and barbarism."
5,IlikeBrits,12 May 2014 9:58pm,2,False,It is really remarkable for me that it seems that persons with jewish background are very often the more fair judges than the self-satisfied would have been heroes.
6,SolarTime2012,17 May 2014 2:15am,1,False,And its not the only film its a miniseries so it has soap opera elementswhile a film like SOPHIE SCHOLL The Final Days is a feature with an intense atmosphere that makes you really feel the blanket of the ideology. BLURAY is superb.
7,ChewingTheCud,19 May 2014 8:15am,2,False,"My objection to Generation War is that it paints a false picture of innocence among a group of young Germans, who on the one hand are portrayed as fully supporting Hitler and the war (at the start at least) and on the other as being innocent of the true nature of Hitler's regime. Totally unbelievable!  Very relevantly Goebbels said that a lie repeated often enough becomes the truth. Jews are non-people, cockroaches, money grabbers, the enemy of the Reich.   Tell the world that the sun goes around the earth and you're believed, just because you have no proof to the contrary and everybody thinks it's true. The facts are often unobtainable or buried under repetition. Very relevantly again, today people attempt to tell us that Israel is apartheid. It is not, but we are told this so often that it becomes a meme, is accepted and grows and eventually it is a truth we pass on."
8,ChewingTheCud,19 May 2014 8:20am,1,False,I doubt there were more inherently evil people in Germany than in England   Indeed. Many on the self-hating radical extreme left supported Hitler's non-agression pact with Stalin. What base hypocrisy from those who claim 'moral supremacy' but are actually in the gutter.
9,Fionnbarra61,12 May 2014 1:36pm,11,False,"I will watch it again, that's for sure. An excellent study of what it may have been like to live in the shadow of the Third Reich and compelled if not coerced into it's nefarious purpose...Superb TV really... For a parallel see Dan Snow's excellent piece on the East India Company - albeit a century earlier but the notion of racial superiority as a highly dangerous construct was well displayed.... Well done to the production team and cast."
10,User995975,12 May 2014 1:40pm,7,False,They had a debate after the show.&amp;nbsp; The Polish ambassador said the show should not have portrayed the resistance fighters as anti semite.&amp;nbsp; Pity he didn't know much about his countrymen's well documented anti semitism.
